country_wb,geo_level,level0_name,level0_name,level1_code,level1_name,level2_code,level2_name,indicator,indicator_label,value,Year
IND,1,IND115,India,,Uttarakhand,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,97.07,2025
IND,1,IND115,India,,Uttarakhand,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,0,2025
IND,1,IND115,India,,West Bengal,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,0.98,2025
LKA,1,LKA231,Sri Lanka,,Ampara,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,48.3,2025
LKA,1,LKA231,Sri Lanka,,Anuradhapura,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,23.94,2025
LKA,1,LKA231,Sri Lanka,,Badulla,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,20.46,2025
LKA,1,LKA231,Sri Lanka,,Batticaloa,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,39.16,2025
LKA,1,LKA231,Sri Lanka,,Colombo,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,4.03,2025
LKA,1,LKA231,Sri Lanka,,Galle,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,10.6,2025
LKA,1,LKA231,Sri Lanka,,Gampaha,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,1.28,2025
LKA,1,LKA231,Sri Lanka,,Hambantota,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,29.55,2025
LKA,1,LKA231,Sri Lanka,,Jaffna,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,0.82,2025
LKA,1,LKA231,Sri Lanka,,Kalutara,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,2.81,2025
LKA,1,LKA231,Sri Lanka,,Kandy,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,25.11,2025
LKA,1,LKA231,Sri Lanka,,Kegalle,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,4.71,2025
LKA,1,LKA231,Sri Lanka,,Kilinochchi,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,41.54,2025
LKA,1,LKA231,Sri Lanka,,Kurunegala,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,6.12,2025
LKA,1,LKA231,Sri Lanka,,Mannar,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,57.42,2025
LKA,1,LKA231,Sri Lanka,,Matale,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,30.23,2025
LKA,1,LKA231,Sri Lanka,,Matara,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,14.18,2025
LKA,1,LKA231,Sri Lanka,,Moneragala,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,38.4,2025
LKA,1,LKA231,Sri Lanka,,Mullaitivu,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,60.66,2025
LKA,1,LKA231,Sri Lanka,,Nuwara Eliya,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,18.93,2025
LKA,1,LKA231,Sri Lanka,,Polonnaruwa,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,48.92,2025
LKA,1,LKA231,Sri Lanka,,Puttalam,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,28.38,2025
LKA,1,LKA231,Sri Lanka,,Ratnapura,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,13.18,2025
LKA,1,LKA231,Sri Lanka,,Trincomalee,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,46.7,2025
LKA,1,LKA231,Sri Lanka,,Vavuniya,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,35.86,2025
NPL,1,NPL175,Nepal,,Central,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,25.34,2025
NPL,1,NPL175,Nepal,,East,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,21.01,2025
NPL,1,NPL175,Nepal,,Far-Western,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,15.47,2025
NPL,1,NPL175,Nepal,,Mid-Western,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,19.42,2025
NPL,1,NPL175,Nepal,,West,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,35.32,2025
PAK,1,PAK188,Pakistan,,Azad Kashmir,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,1.97,2025
PAK,1,PAK188,Pakistan,,Balochistan,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,2.91,2025
PAK,1,PAK188,Pakistan,,Federally Administered Tribal Ar,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,2.69,2025
PAK,1,PAK188,Pakistan,,Gilgit-Baltistan,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,9.2,2025
PAK,1,PAK188,Pakistan,,Islamabad,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,10.03,2025
PAK,1,PAK188,Pakistan,,Khyber-Pakhtunkhwa,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,2.12,2025
PAK,1,PAK188,Pakistan,,Punjab,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,17.98,2025
PAK,1,PAK188,Pakistan,,Sindh,,,Terrestrial and inland waters protected area coverage,Terrestrial and aquaticareas covered byprotected areas,18.96,2025
